#k-distance eigenvalue[eV]
0.00000000 -9.53800000
0.05237690 -9.57580000
0.10475379 -9.68070000
0.15713069 -9.83310000
0.20950759 -10.01340000
0.26188448 -10.20660000
0.31426138 -10.40250000
0.36663827 -10.59450000
0.41901517 -10.77840000
0.47139207 -10.95110000
0.52376894 -11.11070000
0.57614584 -11.25590000
0.62852274 -11.38550000
0.68089963 -11.49900000
0.73327653 -11.59580000
0.78565342 -11.67540000
0.83803032 -11.73760000
0.89040722 -11.78210000
0.94278411 -11.80890000
0.99516101 -11.81790000
0.99516101 -11.81790000
1.05564064 -11.80590000
1.11612027 -11.77020000
1.17659990 -11.71070000
1.23707953 -11.62750000
1.29755916 -11.52080000
1.35803879 -11.39070000
1.41851842 -11.23750000
1.47899805 -11.06130000
1.53947768 -10.86260000
1.59995729 -10.64160000
1.66043692 -10.39890000
1.72091655 -10.13480000
1.78139618 -9.85000000
1.84187581 -9.54510000
1.90235544 -9.22080000
1.96283507 -8.87790000
2.02331470 -8.51740000
2.08379433 -8.14030000
2.14427396 -7.74770000
2.14427396 -7.74770000
2.16565673 -7.74830000
2.18703952 -7.75030000
2.20842229 -7.75370000
2.22980508 -7.75850000
2.25118785 -7.76490000
2.27257063 -7.77320000
2.29395340 -7.78340000
2.31533619 -7.79580000
2.33671896 -7.81080000
2.35810175 -7.82850000
2.37948452 -7.84930000
2.40086730 -7.87360000
2.42225007 -7.90150000
2.44363286 -7.93360000
2.46501563 -7.96990000
2.48639842 -8.01080000
2.50778119 -8.05650000
2.52916397 -8.10700000
2.55054674 -8.16250000
2.55054674 -8.16250000
2.61469507 -8.35770000
2.67884341 -8.59170000
2.74299174 -8.85510000
2.80714008 -9.13710000
2.87128841 -9.42740000
2.93543675 -9.71750000
2.99958508 -10.00050000
3.06373341 -10.27160000
3.12788175 -10.52670000
3.19203008 -10.76310000
3.25617842 -10.97860000
3.32032675 -11.17160000
3.38447508 -11.34080000
3.44862342 -11.48530000
3.51277175 -11.60440000
3.57692009 -11.69750000
3.64106842 -11.76430000
3.70521676 -11.80450000
